Employee ID,Department,Job Level,Gender,Years of Experience,Age,Salary ($),Height (cm)
1,HR,Intermediate,Female,5,30,"55,000",165
2,IT,Advanced,Male,10,40,"75,000",180
3,Marketing,Beginner,Female,2,25,"45,000",170
4,Finance,Expert,Male,15,50,"85,000",175
5,IT,Intermediate,Non-Binary,7,35,"60,000",160
6,HR,Beginner,Male,1,22,"40,000",170
7,Marketing,Advanced,Female,12,45,"70,000",165
8,Finance,Intermediate,Male,8,38,"65,000",172
9,IT,Beginner,Female,3,28,"50,000",168
10,HR,Expert,Male,20,55,"90,000",178
11,IT,Intermediate,Female,6,32,"58,000",165
12,Finance,Advanced,Male,10,40,"75,000",180
13,Marketing,Beginner,Female,4,26,"48,000",169
14,HR,Advanced,Female,13,42,"72,000",166
15,IT,Beginner,Male,2,25,"45,000",170
16,Finance,Expert,Female,18,48,"88,000",175
17,Marketing,Intermediate,Male,7,36,"62,000",174
18,HR,Beginner,Non-Binary,1,23,"42,000",164
19,IT,Advanced,Female,9,39,"74,000",167
20,Finance,Intermediate,Male,11,43,"68,000",173
21,HR,Expert,Male,22,58,"92,000",177
22,IT,Beginner,Female,2,27,"46,000",168
23,Finance,Advanced,Male,15,50,"85,000",175
24,Marketing,Intermediate,Female,5,33,"57,000",166
25,HR,Beginner,Male,1,24,"41,000",169
26,IT,Expert,Female,20,55,"89,000",172
27,Finance,Intermediate,Male,9,37,"66,000",171
28,Marketing,Advanced,Non-Binary,13,44,"73,000",170
29,HR,Intermediate,Female,6,32,"59,000",165
30,IT,Beginner,Male,3,29,"49,000",167
31,Finance,Expert,Female,16,49,"87,000",174
32,Marketing,Intermediate,Male,8,38,"63,000",169
33,HR,Beginner,Non-Binary,1,23,"43,000",163
34,IT,Advanced,Female,11,42,"76,000",169
35,Finance,Intermediate,Male,7,35,"61,000",168
36,Marketing,Expert,Female,17,47,"86,000",175
37,HR,Beginner,Male,2,26,"44,000",171
38,IT,Advanced,Non-Binary,12,45,"77,000",170
39,Finance,Beginner,Female,4,28,"47,000",166
40,Marketing,Intermediate,Male,5,34,"55,000",167
41,HR,Expert,Female,19,53,"91,000",177
42,IT,Beginner,Male,3,27,"50,000",168
43,Finance,Advanced,Female,10,41,"78,000",172
44,Marketing,Intermediate,Non-Binary,7,36,"60,000",169
45,HR,Advanced,Male,14,46,"74,000",174
46,IT,Expert,Female,18,48,"87,000",170
47,Finance,Beginner,Male,2,26,"46,000",168
48,Marketing,Advanced,Female,15,50,"85,000",173
49,HR,Intermediate,Non-Binary,9,39,"67,000",167
50,IT,Beginner,Male,4,28,"47,000",165
